id,Date,Location,Artist,Venue,Lineup,Gear Notes,Link,Created on
1,2021-09-22,"Davenport, IA","Liam Kazar",Raccoon Motel,"Liam Kazar, Case Oats",Red Onyx Slingerland,,2025-08-03
,2021-09-22,"Davenport, IA","Case Oats",Raccoon Motel,"Liam Kazar, Case Oats",Red Onyx Slingerland,,2025-08-03
2,2021-09-23,"Kansas City, MO",Liam Kazar,Lemonade Park,"Shy Boys, Liam Kazar, Paris Williams",Red Onyx Slingerland,,2025-08-03
3,2021-09-24,"Des Moines, IA",Liam Kazar,Gas Lamp,"Thelma and the Sleeze, Liam Kazar, Karen Meat",Red Onyx Slingerland,,2025-08-03
4,2021-09-25,"St. Paul, MN",Liam Kazar,Turf Club,"Liam Kazar, Loud Sun, Al Church",Red Onyx Slingerland,,2025-08-03
5,2021-09-26,"Milwaukee, WI",Liam Kazar,Colectivo Back Room,"Deeper/Ohmme, Liam Kazar",Deeper's drums (super kind Shiraz's) with super floppy bass drum,,2025-08-03
6,2021-10-01,"Chicago, IL",Case Oats,Golden Dagger,"Case Oats, Rat Tally",Red Onyx Slingerland,,2025-08-03
7,2021-10-02,"Dallas, TX",Ohmme,Double Wide,"Deeper/Ohmme, Nicole Marxen",Deeper drums + my C&C gold sparkle snare,,2025-08-03
8,2021-10-03,"Houston, TX",Ohmme,Satellite Bar,"Deeper/Ohmme, Astragal","Astragal's ""George Bonham"" Ludwig, big dimensions, they were using a floor tom on a stand as a rack tom",,2025-08-03
9,2021-10-04,"New Orleans, LA",Ohmme,Gasa Gasa,"Deeper/Ohmme, Cash Advance",Deeper drums + my C&C gold sparkle snare,,2025-08-03
10,2021-10-05,"Jackson, MS",Ohmme,Hal & Mal's,"Deeper/Ohmme, RCF",Deeper drums + my C&C gold sparkle snare,,2025-08-03
11,2021-10-06,"Memphis, TN",Ohmme,Hi-Tone Cafe,"Deeper/Ohmme, Sunweight",Deeper drums + my C&C gold sparkle snare,,2025-08-03
12,2021-10-07,"Nashville, TN",Ohmme,The End,"Deeper/Ohmme, Bats",Deeper drums + my C&C gold sparkle snare,,2025-08-03
13,2021-10-08,"St. Louis, MO",Ohmme,Off Broadway,Deeper/Ohmme,Deeper drums + my C&C gold sparkle snare,,2025-08-03
14,2021-10-09,"Chicago, IL",Liam Kazar,Thee Best Western Festival at Empty Bottle,"Ryley Walker, Liam Kazar, Hoyle Brothers, Tobacco City, Valebol",Red Onyx Slingerland,,2025-08-03
15,2021-10-20,"Chicago, IL",Sima Cunningham,Lincoln Hall,"Felice Brothers, Sima Cunningham, Al Olender",Felice Brothers' Slingerland frankenkit,,2025-08-03
16,2021-10-22,"Chicago, IL",Aux Thom,Christy Webber Farm & Garden,"Aux Thom, Scary Garcia, Clay Frank","Scary Garcia (Rookie, Joe Bordenaro)'s bizarre pointy-concert-bottom'ed Slingerland with chrome wrap. Sounded great!",,2025-08-03
17,2021-10-24,"Cleveland, OH",Ohmme,Grog Shop,"Shannon and the Clams, Ohmme, The D-Rays",Shannon and the Clams' awful rented Guitar Center Pearl Export kit,,2025-08-03
18,2021-10-29,"Chicago, IL",Cosmic Country Showcase,Hideout,Lavender Country headliner,Red Onyx Slingerland,,2025-08-03
19,2021-10-30,"Chicago, IL",Cosmic Country Showcase,Hideout,Lavender Country headliner,Red Onyx Slingerland,,2025-08-03
20,2021-10-31,"Milwaukee, WI",Cosmic Country Showcase,Cactus Club,Lavender Country headliner,Red Onyx Slingerland,,2025-08-03
21,2021-11-18,"Chicago, IL",Case Oats,Hideout,"Charlotte Cornfield, Case Oats",Red Onyx Slingerland,,2025-08-03
22,2021-11-19,"Chicago, IL",Kelly Hogan,Thalia Hall,"Mavis Staples, Kelly Hogan","Rented SIR Ludwig, blue sparkle, big dimensions",,2025-08-03
23,2021-11-20,"Berwyn, IL",Kelly Hogan,Fitzgerald's,"Mavis Staples, Kelly Hogan",Rented Ludwig Centennial,,2025-08-03
24,2021-12-14,"Milwaukee, WI",Liam Kazar,Cactus Club,"Liam Kazar, Dusk",Red Onyx Slingerland,,2025-08-03
25,2021-12-22,"Chicago, IL",Jeff Tweedy,Metro,"Jeff Tweedy, Tenci",Root beer candy Gretsch,,2025-08-03
26,2021-12-23,"Chicago, IL",Jeff Tweedy,Metro,"Jeff Tweedy, Tenci",Root beer candy Gretsch,,2025-08-03
27,2022-01-18,"Riviera Maya, Mexico",Ohmme,Sky Blue Sky Festival,Sky Blue Sky Festival,Rented C&C,,2025-08-03
28,2022-01-19,"Riviera Maya, Mexico",Jeff Tweedy,Sky Blue Sky Festival,Sky Blue Sky Festival,Rented C&C,,2025-08-03
29,2022-02-02,"Chicago, IL","Andrew Sa",Golden Dagger,"Andrew Sa, Kelly Hogan",Red Onyx Slingerland,,2025-08-03
,2022-02-02,"Chicago, IL","Kelly Hogan",Golden Dagger,"Andrew Sa, Kelly Hogan",Red Onyx Slingerland,,2025-08-03
30,2022-02-07,"Chicago, IL",Ripley,Schubas,"Jaewon, Ripley, Kasia",Jaewon's drummer Eric's slick Pearl Masters gold sparkle,,2025-08-03
31,2022-02-08,"Chicago, IL",Lucky Cloud,Sleeping Village,"Lucky Cloud, Sleepy Gaucho, Alayne Mae (sp)",Red Onyx Slingerland,,2025-08-03
32,2022-02-09,"Milwaukee, WI",Cosmic Country Showcase,Cactus Club,"Sabine McCalla, Elizabeth Moen, Wyatt Waddell, Mary Willamson, Andrew Sa",Red Onyx Slingerland,,2025-08-03
33,2022-02-10,"Chicago, IL",Cosmic Country Showcase,Hideout,,Red Onyx Slingerland,,2025-08-03
34,2022-02-11,"Chicago, IL",Cosmic Country Showcase,Hideout,,Red Onyx Slingerland,,2025-08-03
35,2022-02-12,"Madison, WI",Liam Kazar,UW Madison,"Liam Kazar, EMTN (?)",Opener's drums,,2025-08-03
36,2022-02-21,"San Francisco, CA",Jeff Tweedy,The Fillmore,"Jeff Tweedy, Mark Eitzel",Tweedy C&C,,2025-08-03
37,2022-02-22,"San Francisco, CA",Jeff Tweedy,The Fillmore,"Jeff Tweedy, Mark Eitzel",Tweedy C&C,,2025-08-03
38,2022-02-24,"Los Angeles, CA",Jeff Tweedy,Largo at the Coronet,"Jeff Tweedy, Pete Holmes",Tweedy C&C,,2025-08-03
39,2022-02-25,"Los Angeles, CA",Jeff Tweedy,Largo at the Coronet,"Jeff Tweedy, Nick Offerman",Tweedy C&C,,2025-08-03
40,2022-02-26,"Chicago, IL",Liam Kazar,Metro,"Liam Kazar, Lake James, Wyatt Waddell",Red Onyx Slingerland,,2025-08-03
41,2022-03-03,"Columbia, MO",Liam Kazar,Missouri Theatre,True/False Festival,Red Onyx Slingerland,,2025-08-03
42,2022-03-04,"Columbia, MO","Liam Kazar",Cafe Berlin,"Liam Kazar, Little Mazarn, Case Oats",Red Onyx Slingerland,,2025-08-03
,2022-03-04,"Columbia, MO","Case Oats",Cafe Berlin,"Liam Kazar, Little Mazarn, Case Oats",Red Onyx Slingerland,,2025-08-03
43,2022-03-05,"Columbia, MO",Sammy Tweedy and Spencer Tweedy,The Sanctuary at First Presbyterian Church,"Living Hour, Spencer & Sammy Tweedy, Rae Fitzgerald, Lucas Oswald",Red Onyx Slingerland,,2025-08-03
44,2022-03-05,"Columbia, MO",Case Oats,Picturehouse,True/False Festival,Avocado green Gibson J-45,,2025-08-03
45,2022-03-05,"Columbia, MO",Case Oats,Picturehouse ,True/False Festival,Avocado green Gibson J-45,,2025-08-03
46,2022-03-06,"Columbia, MO",Sammy Tweedy and Spencer Tweedy,Blue Note,True/False Festival,Red Onyx Slingerland,,2025-08-03
47,2022-03-06,"Columbia, MO",Sammy Tweedy and Spencer Tweedy,Blue Note,True/False Festival,Red Onyx Slingerland,,2025-08-03
48,2022-03-09,"Chicago, IL",Ripley,Sleeping Village,"Ripley, Creature Fight, Kasia",Red Onyx Slingerland,,2025-08-03
49,2022-03-16,"Austin, TX",Liam Kazar,Spider House Ballroom,SXSW,Sonor Vintage series back line,,2025-08-03
50,2022-03-16,"Austin, TX",Liam Kazar,High Noon Saloon,SXSW,Unknown back line,,2025-08-03
51,2022-03-17,"Austin, TX",Liam Kazar,Wax Myrtles,SXSW,Gretsch back line ,,2025-08-03
52,2022-03-18,"Austin, TX",Andrew Sa,Spider House Ballroom,SXSW,Unknown borrowed kit,,2025-08-03
53,2022-03-19,"Austin, TX",Liam Kazar,Spider House Ballroom,SXSW,Unknown borrowed kit,,2025-08-03
54,2022-03-19,"Austin, TX",Liam Kazar,Adam Ostrar's House Party,SXSW,Red Onyx Slingerland (pared down),,2025-08-03
55,2022-03-19,"Austin, TX",Liam Kazar,Lambert's BBQ,SXSW,Unknown back line,,2025-08-03
56,2022-03-20,"Dallas, TX",Liam Kazar,New New Festival,Festival,Unknown back line,,2025-08-03
57,2022-03-21,"Houston, TX",Liam Kazar,White Oak Music Hall,"Liam Kazar, Minor Moon",Red Onyx Slingerland,,2025-08-03
58,2022-03-22,"New Orleans, LA",Liam Kazar,Gasa Gasa,"Liam Kazar, Minor Moon",Red Onyx Slingerland,,2025-08-03
59,2022-03-24,"Atlanta, GA",Liam Kazar,Eddie's Attic,Liam Kazar (evening with),Red Onyx Slingerland,,2025-08-03
60,2022-03-27,"Richmond, VA",Liam Kazar,The Camel,"Liam Kazar, Abby Huston, Night Idea",Red Onyx Slingerland,,2025-08-03
61,2022-03-28,"Baltimore, MD",Liam Kazar,Ottobar,"Liam Kazar and there was a solo opener whose name I forgot, maybe also a second support",Red Onyx Slingerland,,2025-08-03
62,2022-03-29,"Washington, DC",Liam Kazar,DC9,Liam Kazar (no opener?),Red Onyx Slingerland,,2025-08-03
63,2022-03-30,"New York, NY",Liam Kazar,TV Eye,"Liam Kazar, Sweepea, Bill Waters ",House kit with my orange Acrolyte,,2025-08-03
64,2022-03-31,"Philadelphia, PA",Liam Kazar,Silk City Diner,"Liam Kazar, Good Things Take Time",Red Onyx Slingerland,,2025-08-03
65,2022-04-02,"Cincinnati, OH",Liam Kazar,MOTR Pub,"The Yugos, Spoils, Liam Kazar, Brad Goodall",Red Onyx Slingerland,,2025-08-03
66,2022-04-03,"Bloomington, IN",Liam Kazar,The Bishop,"Liam Kazar, Free Range",Red Onyx Slingerland,,2025-08-03
67,2022-04-09,"Chicago, IL","Madeleine Kelson",Martyrs,"Madeleine Kelson, Alaina Stacy, Carleton Koldyke",House kit with my orange Acrolyte,,2025-08-03
,2022-04-09,"Chicago, IL","Alaina Stacey",Martyrs,"Madeleine Kelson, Alaina Stacy, Carleton Koldyke",House kit with my orange Acrolyte,,2025-08-03
68,2022-04-15,"Chicago, IL",Ripley,Gman Tavern,"Aunt Kelly, Ripley, The Dearlys",Sarah Weddle's vintage Ludwig with my orange Acrolyte,,2025-08-03
69,2022-04-16,"Chicago, IL",Lucky Cloud,Lincoln Hall,"Elizabeth Moen, Lucky Cloud","Liz's drummer David's cool Mapex orange kit, with my orange Acrolyte",,2025-08-03
70,2022-05-06,"Denver, CO",Liam Kazar,Bluebird Theater,"Fruit Bats, Liam Kazar",Backline blue sparkle vintage Ludwig,,2025-08-03
71,2022-05-07,"Denver, CO",Liam Kazar,Bluebird Theater,"Fruit Bats, Liam Kazar",Backline blue sparkle vintage Ludwig,,2025-08-03
72,2022-05-12,"Chicago, IL",Liam Kazar,Hideout,"Sam Evian, Liam Kazar",Red Onyx Slingerland,,2025-08-03
73,2022-05-27,"North Adams, MA",Ohmme,MASS MoCA,Solid Sound,Orange Acrolyte snare,,2025-08-03
74,2022-05-28,"North Adams, MA",Liam Kazar,MASS MoCA,Solid Sound,Red Onyx Slingerland,,2025-08-03
75,2022-05-28,"North Adams, MA",Mirror Sound,MASS MoCA,Solid Sound,Red Onyx Slingerland,,2025-08-03
76,2022-05-29,"North Adams, MA",Jeff Tweedy,MASS MoCA,Solid Sound,Tweedy C&C,,2025-08-03
77,2022-05-29,"North Adams, MA",Liam Kazar,MASS MoCA,Solid Sound,Red Onyx Slingerland,,2025-08-03
